date,hour,location,district,crime_category,is_valid,latitude,longitude,geocode_method
2016-06-25,19,臺中市北屯區崇德五路與河北路口,北屯區,機車竊盜,1,24.187151751860895,120.68099874354725,jittered
2016-06-25,21,臺中市大雅區信義路45巷,大雅區,機車竊盜,1,24.2222771363224,120.64085862154651,jittered
2016-06-26,8,臺中市大里區益民路1段,大里區,機車竊盜,1,24.094624272111716,120.68269393785602,jittered
2016-06-26,11,臺中市大里區內新里新光路,大里區,機車竊盜,1,24.096766308059266,120.68589556413188,jittered
2016-06-27,0,臺中市東勢區中寧里正五街2號,東勢區,機車竊盜,1,24.25899343325598,120.8339475877053,jittered
2016-06-27,5,臺中市大里區新仁七街,大里區,機車竊盜,1,24.09197220076331,120.6528,jittered
2016-06-28,21,臺中市西屯區福聯街22巷,西屯區,機車竊盜,1,24.1565,120.61833467065239,jittered
2016-06-29,6,臺中市龍井區麗水里臨港路1段,龍井區,機車竊盜,1,24.192780394524913,120.54473502352684,jittered
2016-06-30,0,臺中市西屯區臺灣大道4段,西屯區,機車竊盜,1,24.175901591511867,120.62957178531435,jittered
2016-06-30,1,臺中市南屯區春安二街與建功路,南屯區,機車竊盜,1,24.134664666876038,120.60201997490796,jittered
2016-06-30,7,臺中市龍井區東海街41巷,龍井區,機車竊盜,1,24.198691817752874,120.55630217780254,jittered
2016-07-01,7,臺中市大里區新里里014鄰新興路將軍二巷,大里區,機車竊盜,1,24.10186683642093,120.6759400371256,jittered
2016-07-01,17,臺中市大里區立德里立仁一路,大里區,機車竊盜,1,24.100685568343366,120.68522222342042,jittered
2016-07-01,20,臺中市西屯區青海路2段,西屯區,機車竊盜,1,24.179750606982292,120.61222228581555,jittered
2016-07-02,0,臺中市西屯區大墩路,西屯區,機車竊盜,1,24.181043251325725,120.6025516795341,jittered
2016-07-02,5,臺中市霧峰區南柳里柳豐二街,霧峰區,機車竊盜,1,24.04880606730799,120.70888772474468,jittered
2016-07-02,6,臺中市大里區中興路2段,大里區,機車竊盜,1,24.10074951424489,120.67543682409813,jittered
2016-07-02,16,臺中市北屯區中清路2段515巷,北屯區,機車竊盜,1,24.168756864800915,120.6819596949607,jittered
2016-07-02,19,臺中市北區文心路4段,北區,機車竊盜,1,24.157971782318565,120.67700253537599,jittered
2016-07-04,17,臺中市清水區海濱路,清水區,機車竊盜,1,24.247345605271345,120.54107662736094,jittered
2016-07-05,17,臺中市龍井區台西南路,龍井區,機車竊盜,1,24.19692947411243,120.54662452421785,jittered
2016-07-07,2,臺中市霧峰區中正路924巷,霧峰區,機車竊盜,1,24.086242812712054,120.70404712114143,jittered
2016-07-08,2,臺中市大里區中興路1段,大里區,機車竊盜,1,24.105684682246,120.68511100247217,jittered
2016-07-08,19,臺中市大里區東里路,大里區,機車竊盜,1,24.074,120.66772317092091,jittered
2016-07-10,16,臺中市西屯區臺灣大道3段,西屯區,機車竊盜,1,24.185375127839176,120.59479073502354,jittered
2016-07-10,20,臺中市南區崇倫北街,南區,機車竊盜,1,24.116633958276505,120.67098578877005,jittered
2016-07-11,21,臺中市大肚區興和路185巷,大肚區,機車竊盜,1,24.15580263174961,120.53041552478483,jittered
2016-07-11,22,臺中市沙鹿區北勢東路,沙鹿區,機車竊盜,1,24.24601314710197,120.5467,jittered
2016-07-12,0,臺中市大肚區沙田路3段,大肚區,機車竊盜,1,24.156207781499173,120.53619488994688,jittered
2016-07-12,2,臺中市沙鹿區興安路,沙鹿區,機車竊盜,1,24.24202955898357,120.5696912611912,jittered
2016-07-12,16,臺中市豐原區富陽路,豐原區,機車竊盜,1,24.25417943410855,120.73167100278785,jittered
